epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9032,1.38086,1.88757,1.87913,1.3777,0.96714,0.11823,0.42541,0.22184,0,0,0,0,1.8479,30.7647,2.59558,1.35196,0.0675593,0.000327684,0.000327684
2,77.8425,1.23447,1.30548,1.2975,1.25284,0.23769,0.38956,0.1837,0.07879,7e-05,0.00402,4e-05,2e-05,2.20976,5.61259,2.5413,1.579,0.0345593,0.00066101,0.00066101
3,117.006,1.29431,1.30872,1.32411,1.28928,0.11287,0.18474,0.04695,0.01597,0.31166,0.39823,0.18278,0.03786,2.64523,1.9382,3.14107,2.31556,0.00155928,0.000994311,0.000994311
4,154.862,1.28039,1.29499,1.27488,1.28163,0.53811,0.50201,0.47339,0.20295,0.51017,0.47791,0.36366,0.08673,1.92015,1.89648,2.16956,1.5323,0.000999912,0.000999912,0.000999912
5,193.294,1.23854,1.26779,1.21647,1.25524,0.67976,0.61044,0.61109,0.35694,0.6034,0.54618,0.49259,0.15464,1.50492,1.29425,1.64506,1.15754,0.000999844,0.000999844,0.000999844
6,231.351,1.21056,1.26513,1.19059,1.24473,0.62188,0.63052,0.59968,0.34903,0.51579,0.51406,0.4074,0.11359,1.4686,1.39265,1.66582,1.16198,0.000999756,0.000999756,0.000999756
7,270.239,1.14446,1.23484,1.13529,1.22291,0.75496,0.66265,0.67066,0.40895,0.63109,0.56627,0.45922,0.14,1.44442,1.45664,1.28983,1.07342,0.000999648,0.000999648,0.000999648
8,308.953,1.11001,1.22927,1.10306,1.19548,0.75399,0.62776,0.68077,0.38791,0.72887,0.5614,0.56346,0.17723,1.48604,1.35835,1.31603,1.13077,0.000999521,0.000999521,0.000999521
9,347.98,1.07213,1.19816,1.0693,1.17993,0.53957,0.48594,0.48449,0.28718,0.47283,0.43775,0.33855,0.0923,1.64697,1.71301,1.743,1.25362,0.000999375,0.000999375,0.000999375
10,386.653,1.07938,1.21557,1.05279,1.19125,0.72925,0.62651,0.69897,0.44701,0.63261,0.60241,0.58738,0.18934,1.29217,1.20222,1.25353,1.02361,0.000999209,0.000999209,0.000999209
11,425.795,1.04986,1.1798,1.03817,1.1739,0.77935,0.64659,0.69238,0.45095,0.77519,0.60643,0.60481,0.19157,1.31362,1.30932,1.18863,1.00753,0.000999023,0.000999023,0.000999023
12,464.607,1.03128,1.18637,0.99089,1.16154,0.68611,0.59694,0.61809,0.38641,0.59766,0.51004,0.44523,0.14484,1.34286,1.31718,1.38633,1.05941,0.000998818,0.000998818,0.000998818
13,503.309,1.01236,1.17129,0.9867,1.16764,0.75054,0.59206,0.65016,0.42097,0.68551,0.54217,0.50465,0.15895,1.3507,1.36308,1.33143,1.00534,0.000998594,0.000998594,0.000998594
14,541.724,0.97931,1.16613,0.97586,1.14593,0.88329,0.66871,0.7675,0.5028,0.77816,0.58233,0.60058,0.18891,1.24067,1.25833,1.12727,0.96731,0.00099835,0.00099835,0.00099835
15,580.183,0.99397,1.15388,0.95951,1.14904,0.8174,0.69076,0.71181,0.46368,0.78213,0.6632,0.6562,0.19712,1.27443,1.20524,1.1894,1.03621,0.000998086,0.000998086,0.000998086
16,618.58,0.97938,1.1704,0.93171,1.14473,0.79308,0.66187,0.69275,0.45871,0.76756,0.53815,0.54436,0.17461,1.294,1.34672,1.20783,1.05779,0.000997803,0.000997803,0.000997803
17,657.269,0.96061,1.14233,0.91046,1.13721,0.78049,0.68675,0.70816,0.49752,0.74321,0.59281,0.60825,0.19025,1.15314,1.22963,1.10401,0.97937,0.000997501,0.000997501,0.000997501
18,695.91,0.96445,1.13796,0.91306,1.13945,0.88862,0.66667,0.74782,0.51981,0.82665,0.61847,0.63028,0.20723,1.16011,1.29398,1.05398,0.95554,0.000997179,0.000997179,0.000997179
19,734.287,0.93944,1.1582,0.91305,1.13196,0.78712,0.70281,0.75232,0.50338,0.73759,0.62249,0.60427,0.18703,1.13538,1.244,1.00108,0.95919,0.000996838,0.000996838,0.000996838
20,772.081,0.92716,1.15028,0.90448,1.124,0.84312,0.73092,0.7722,0.53838,0.76529,0.65473,0.63723,0.20257,1.06937,1.19394,1.04272,0.92231,0.000996477,0.000996477,0.000996477
21,810.549,0.93235,1.1473,0.88144,1.11484,0.80225,0.69478,0.71915,0.50975,0.76835,0.65462,0.62938,0.20953,1.09865,1.18791,1.11675,0.95021,0.000996097,0.000996097,0.000996097
22,849.508,0.91444,1.12473,0.86913,1.11302,0.85224,0.69493,0.76141,0.54897,0.77822,0.6506,0.63233,0.21806,1.03745,1.18631,1.01751,0.90423,0.000995697,0.000995697,0.000995697
23,888.295,0.91891,1.12795,0.86698,1.11435,0.87823,0.69515,0.75223,0.53233,0.67063,0.53152,0.46447,0.155,1.13832,1.43171,0.99652,0.89355,0.000995278,0.000995278,0.000995278
24,927.01,0.92591,1.13148,0.88537,1.11929,0.84051,0.66667,0.74203,0.52446,0.78034,0.6135,0.6274,0.21776,1.10625,1.20361,1.07411,0.94391,0.00099484,0.00099484,0.00099484
25,966.002,0.90366,1.12292,0.86362,1.10518,0.86212,0.70311,0.75967,0.54188,0.79337,0.62651,0.61557,0.21071,1.1026,1.20837,1.02045,0.9169,0.000994383,0.000994383,0.000994383
26,1004.8,0.89046,1.09857,0.84416,1.09991,0.86136,0.69867,0.78807,0.53493,0.81506,0.62249,0.66453,0.22781,1.11593,1.16473,0.95546,0.92681,0.000993906,0.000993906,0.000993906
27,1043.43,0.89454,1.11007,0.84584,1.09596,0.83238,0.6988,0.73892,0.53453,0.76397,0.63695,0.62665,0.22303,1.07553,1.2683,0.99855,0.96228,0.00099341,0.00099341,0.00099341
28,1081.83,0.89595,1.12078,0.8503,1.09546,0.82008,0.69478,0.7401,0.52331,0.77539,0.6516,0.64815,0.21893,1.05641,1.1856,1.05696,0.93913,0.000992894,0.000992894,0.000992894
29,1120.53,0.87993,1.12162,0.83538,1.09412,0.86842,0.66667,0.74727,0.53629,0.80443,0.61446,0.62564,0.20161,1.02559,1.20539,0.97287,0.89295,0.000992359,0.000992359,0.000992359
30,1158.69,0.89746,1.11098,0.84664,1.10359,0.83046,0.72691,0.75826,0.51345,0.78139,0.61044,0.61985,0.20482,1.18097,1.24548,1.00822,0.97062,0.000991805,0.000991805,0.000991805
31,1197.33,0.88868,1.10882,0.83807,1.09945,0.83577,0.73092,0.76823,0.56758,0.8087,0.66265,0.65725,0.23163,1.03758,1.18008,0.95316,0.87045,0.000991232,0.000991232,0.000991232
32,1235.5,0.86649,1.09534,0.80145,1.09523,0.81523,0.67333,0.74398,0.54874,0.77242,0.63052,0.63962,0.22306,1.02755,1.12535,1.00298,0.91904,0.00099064,0.00099064,0.00099064
33,1273.82,0.87247,1.11068,0.817,1.0954,0.84184,0.68405,0.76134,0.56287,0.78232,0.63508,0.65965,0.22896,1.04345,1.17977,0.9676,0.90061,0.000990028,0.000990028,0.000990028
34,1311.82,0.86193,1.08077,0.81799,1.09116,0.8683,0.71492,0.76864,0.52988,0.81509,0.6727,0.66653,0.21852,1.07621,1.18215,0.97098,0.90666,0.000989398,0.000989398,0.000989398
35,1350.61,0.86654,1.08983,0.80944,1.08755,0.82684,0.72691,0.76091,0.56003,0.8143,0.6692,0.68577,0.24756,1.04492,1.1765,0.99024,0.90149,0.000988748,0.000988748,0.000988748
36,1369.58,0.85491,1.10355,0.79638,1.0807,0.78252,0.73896,0.74981,0.55364,0.78454,0.66667,0.67518,0.23052,1.03136,1.16607,0.93258,0.89516,0.000988079,0.000988079,0.000988079
37,1394.49,0.85528,1.09284,0.80086,1.09377,0.85755,0.70112,0.75936,0.53674,0.8052,0.61423,0.62207,0.20061,1.05426,1.22682,1.01336,0.88723,0.000987391,0.000987391,0.000987391
38,1433.52,0.83586,1.07538,0.77471,1.07349,0.85611,0.67871,0.74514,0.55278,0.77506,0.61446,0.60098,0.20756,1.02378,1.24949,0.99715,0.91123,0.000986684,0.000986684,0.000986684
39,1472.56,0.84288,1.0884,0.80146,1.07244,0.80201,0.69478,0.75449,0.574,0.79662,0.63855,0.67893,0.23431,0.99715,1.18036,0.95688,0.89031,0.000985958,0.000985958,0.000985958
40,1512,0.83194,1.07176,0.77402,1.07469,0.83081,0.65462,0.75502,0.55219,0.7636,0.59438,0.62683,0.22345,1.01725,1.16895,0.97462,0.93491,0.000985213,0.000985213,0.000985213
41,1551.57,0.85378,1.07792,0.78417,1.08457,0.84333,0.69175,0.76672,0.57533,0.79335,0.65462,0.67047,0.23039,0.9536,1.16444,0.9702,0.86212,0.000984449,0.000984449,0.000984449
42,1590.63,0.82652,1.06763,0.75916,1.07534,0.86267,0.70639,0.77532,0.56619,0.79834,0.65186,0.6872,0.23503,1.06054,1.21157,0.94887,0.9118,0.000983666,0.000983666,0.000983666
43,1630.05,0.81912,1.07863,0.75153,1.06561,0.75388,0.73809,0.75721,0.56589,0.66437,0.6747,0.64331,0.21955,0.98496,1.15125,0.95943,0.89817,0.000982864,0.000982864,0.000982864
44,1669.36,0.82461,1.06933,0.76243,1.07336,0.84552,0.68273,0.77223,0.58335,0.79579,0.64257,0.69026,0.24269,1.00658,1.17598,0.9361,0.89213,0.000982043,0.000982043,0.000982043
45,1708.37,0.82922,1.07608,0.76309,1.06223,0.86825,0.71461,0.76217,0.57536,0.83291,0.66667,0.7102,0.24053,0.9941,1.11919,0.88669,0.8702,0.000981204,0.000981204,0.000981204
46,1747.11,0.80631,1.04757,0.74933,1.06154,0.89681,0.69478,0.77575,0.56843,0.84767,0.65462,0.6799,0.22845,1.02043,1.1869,0.91196,0.90689,0.000980345,0.000980345,0.000980345
