rank,cmc
1,0.5546875
2,0.6796875
3,0.734375
4,0.7578125
5,0.78125
6,0.8046875
7,0.8125
8,0.8203125
9,0.8203125
10,0.828125
11,0.8359375
12,0.84375
13,0.8671875
14,0.8671875
15,0.875
16,0.890625
17,0.8984375
18,0.8984375
19,0.8984375
20,0.8984375
21,0.8984375
22,0.8984375
23,0.90625
24,0.921875
25,0.921875
26,0.921875
27,0.921875
28,0.921875
29,0.921875
30,0.9375
31,0.9375
32,0.9453125
33,0.9453125
34,0.9453125
35,0.953125
36,0.9609375
37,0.96875
38,0.96875
39,0.96875
40,0.96875
41,0.9765625
42,0.9765625
43,0.9765625
44,0.9765625
45,0.9765625
46,0.9765625
47,0.9765625
48,0.9765625
49,0.9765625
50,0.9765625
