rank,cmc
1,0.0078125
2,0.015625
3,0.0234375
4,0.0390625
5,0.0625
6,0.09375
7,0.09375
8,0.1015625
9,0.109375
10,0.109375
11,0.1171875
12,0.125
13,0.1328125
14,0.15625
15,0.15625
16,0.1640625
17,0.1796875
18,0.1953125
19,0.2265625
20,0.234375
21,0.234375
22,0.234375
23,0.25
24,0.2578125
25,0.28125
26,0.296875
27,0.3046875
28,0.3125
29,0.3359375
30,0.3359375
31,0.34375
32,0.3515625
33,0.3671875
34,0.3671875
35,0.375
36,0.375
37,0.3984375
38,0.421875
39,0.421875
40,0.4296875
41,0.4453125
42,0.453125
43,0.4609375
44,0.46875
45,0.4765625
46,0.4765625
47,0.4921875
48,0.5
49,0.5234375
50,0.53125
