rank,cmc
1,0.5390625
2,0.6015625
3,0.6640625
4,0.6796875
5,0.71875
6,0.7265625
7,0.734375
8,0.7421875
9,0.75
10,0.7734375
11,0.7890625
12,0.8125
13,0.8359375
14,0.84375
15,0.8515625
16,0.8515625
17,0.8515625
18,0.859375
19,0.8671875
20,0.8671875
21,0.8671875
22,0.8671875
23,0.875
24,0.875
25,0.875
26,0.8828125
27,0.8828125
28,0.8828125
29,0.890625
30,0.8984375
31,0.8984375
32,0.90625
33,0.90625
34,0.90625
35,0.90625
36,0.9140625
37,0.9140625
38,0.9140625
39,0.9375
40,0.9453125
41,0.9453125
42,0.9453125
43,0.953125
44,0.953125
45,0.953125
46,0.953125
47,0.9609375
48,0.9609375
49,0.9609375
50,0.9609375
