rank,cmc
1,0.3984375
2,0.46875
3,0.484375
4,0.5
5,0.5390625
6,0.546875
7,0.5546875
8,0.59375
9,0.6171875
10,0.6171875
11,0.6484375
12,0.671875
13,0.6796875
14,0.6796875
15,0.6875
16,0.6953125
17,0.703125
18,0.7109375
19,0.7109375
20,0.71875
21,0.71875
22,0.7265625
23,0.734375
24,0.734375
25,0.7421875
26,0.75
27,0.7578125
28,0.7578125
29,0.765625
30,0.765625
31,0.765625
32,0.7734375
33,0.7734375
34,0.7734375
35,0.7734375
36,0.78125
37,0.78125
38,0.78125
39,0.78125
40,0.7890625
41,0.8046875
42,0.8046875
43,0.8125
44,0.8203125
45,0.8203125
46,0.8203125
47,0.828125
48,0.8359375
49,0.8359375
50,0.8359375
