rank,cmc
1,0.03125
2,0.0546875
3,0.0625
4,0.0625
5,0.078125
6,0.0859375
7,0.109375
8,0.1171875
9,0.140625
10,0.1484375
11,0.1640625
12,0.1796875
13,0.203125
14,0.21875
15,0.21875
16,0.2421875
17,0.2421875
18,0.265625
19,0.3046875
20,0.3125
21,0.3125
22,0.3125
23,0.3203125
24,0.3515625
25,0.3828125
26,0.390625
27,0.390625
28,0.4140625
29,0.421875
30,0.421875
31,0.4375
32,0.4375
33,0.453125
34,0.453125
35,0.4609375
36,0.46875
37,0.484375
38,0.4921875
39,0.5
40,0.5078125
41,0.5078125
42,0.515625
43,0.515625
44,0.53125
45,0.5390625
46,0.5546875
47,0.578125
48,0.59375
49,0.6015625
50,0.6015625
