rank,cmc
1,0.6015625
2,0.6796875
3,0.7109375
4,0.7421875
5,0.7578125
6,0.7734375
7,0.8046875
8,0.8125
9,0.8125
10,0.828125
11,0.84375
12,0.8515625
13,0.859375
14,0.859375
15,0.859375
16,0.8671875
17,0.8828125
18,0.8984375
19,0.921875
20,0.9296875
21,0.9296875
22,0.9296875
23,0.9375
24,0.9375
25,0.9375
26,0.9453125
27,0.9453125
28,0.9453125
29,0.9453125
30,0.9453125
31,0.9453125
32,0.953125
33,0.953125
34,0.953125
35,0.953125
36,0.953125
37,0.953125
38,0.953125
39,0.9609375
40,0.96875
41,0.96875
42,0.96875
43,0.96875
44,0.96875
45,0.9765625
46,0.9765625
47,0.9765625
48,0.9765625
49,0.9765625
50,0.984375
