object_id,num_queries,top1_rate,top5_rate,mean_rank,median_rank
3841.rf.10b7cdb473d0d68639078e98f220754a_object0,3,1.0,1.0,1.0,1.0
1896.rf.e718dd26abc98c2645ea37a808039034_object0,2,1.0,1.0,1.0,1.0
2400.rf.e2dbfc7baf8e55f3ee71cde186d199c2_object1,2,1.0,1.0,1.0,1.0
3018.rf.8080fab394ada475a530ab47db3dc637_object0,2,1.0,1.0,1.0,1.0
3207.rf.f408ffa769bb22f0cc56b51300ed9ce1_object0,2,1.0,1.0,1.0,1.0
1722.rf.38b38f2e833309a4f35bfbf0432dffff_object0,1,1.0,1.0,1.0,1.0
2043.rf.37ea25ead4d12143a2825d97dbb5c6a5_object0,1,1.0,1.0,1.0,1.0
2205.rf.eaf969e5ee1bad463953679d0f0a317f_object2,1,1.0,1.0,1.0,1.0
1974.rf.c900dacf421e72dd3b10be4d3f6e4b40_object0,1,1.0,1.0,1.0,1.0
3481.rf.df8774688622b789d11a98521eb9ea1f_object0,1,1.0,1.0,1.0,1.0
2555.rf.8ce6a08bbea2d1ea1693f796bd43e9a3_object0,1,1.0,1.0,1.0,1.0
2147.rf.68491b477ce9af3d84c550103dd511e3_object0,1,1.0,1.0,1.0,1.0
3885.rf.5d0b08090bb3c2fcd3bc8fe36db9e51a_object0,1,1.0,1.0,1.0,1.0
3456.rf.30895a89b64e39620e28cd70e6330319_object0,1,1.0,1.0,1.0,1.0
2233.rf.48068254cb62ce6f233708947ac13b1c_object0,1,1.0,1.0,1.0,1.0
2015.rf.7ace4a935989f5dd884bd52642f0bcdd_object0,1,1.0,1.0,1.0,1.0
3202.rf.e847435a50534b2273e1e2b8177f946e_object0,1,1.0,1.0,1.0,1.0
1818.rf.7e52c1687bfb625e86c54c9d71a66d99_object0,1,1.0,1.0,1.0,1.0
2426.rf.ae04998dc00ce092b840c07229072282_object0,1,1.0,1.0,1.0,1.0
3303.rf.061ce24aaf7333b08a68618808e54a9c_object0,1,1.0,1.0,1.0,1.0
2026.rf.30a92a40e9e192eb71ac0461019aea44_object0,1,1.0,1.0,1.0,1.0
2137.rf.44786d7aeaf45f9497f47125a5bab284_object0,1,1.0,1.0,1.0,1.0
1675.rf.e3aa3f8d28d0247ef0284dd46dacc29f_object0,1,1.0,1.0,1.0,1.0
2531.rf.5984304ff6cfd2e3dd5c21f219d415e9_object2,1,1.0,1.0,1.0,1.0
3258.rf.1b9e5091cb3dc7fe0abf4e44dd3e0dc7_object0,1,1.0,1.0,1.0,1.0
1686.rf.809fb1b51c607e5cf787e44ef4ddd7b8_object0,1,1.0,1.0,1.0,1.0
1979.rf.d3ee9d85b659ee844d1c26680f05d419_object0,1,1.0,1.0,1.0,1.0
2222.rf.bfd72b1a6235ed53983e11289c619b4e_object4,1,1.0,1.0,1.0,1.0
