rank,cmc
1,0.5859375
2,0.65625
3,0.7109375
4,0.7265625
5,0.7421875
6,0.75
7,0.765625
8,0.796875
9,0.8203125
10,0.8203125
11,0.8203125
12,0.828125
13,0.8359375
14,0.8359375
15,0.859375
16,0.8828125
17,0.8828125
18,0.8828125
19,0.890625
20,0.890625
21,0.890625
22,0.8984375
23,0.9140625
24,0.9140625
25,0.9140625
26,0.9140625
27,0.9140625
28,0.9140625
29,0.9140625
30,0.9140625
31,0.9140625
32,0.921875
33,0.9375
34,0.9453125
35,0.9453125
36,0.9453125
37,0.9609375
38,0.9609375
39,0.96875
40,0.96875
41,0.96875
42,0.96875
43,0.96875
44,0.96875
45,0.96875
46,0.96875
47,0.96875
48,0.96875
49,0.96875
50,0.96875
