rank,cmc
1,0.4140625
2,0.5
3,0.5234375
4,0.5390625
5,0.5859375
6,0.6171875
7,0.640625
8,0.640625
9,0.65625
10,0.65625
11,0.65625
12,0.65625
13,0.65625
14,0.65625
15,0.671875
16,0.6796875
17,0.6796875
18,0.6796875
19,0.6875
20,0.7109375
21,0.7265625
22,0.7265625
23,0.734375
24,0.734375
25,0.75
26,0.7578125
27,0.7578125
28,0.7578125
29,0.765625
30,0.7734375
31,0.7734375
32,0.7734375
33,0.78125
34,0.7890625
35,0.7890625
36,0.796875
37,0.796875
38,0.8125
39,0.8125
40,0.8125
41,0.8125
42,0.8125
43,0.8125
44,0.8125
45,0.8203125
46,0.8203125
47,0.8359375
48,0.84375
49,0.84375
50,0.84375
