rank,cmc
1,0.0390625
2,0.078125
3,0.078125
4,0.1015625
5,0.1171875
6,0.140625
7,0.140625
8,0.15625
9,0.15625
10,0.171875
11,0.171875
12,0.1796875
13,0.2109375
14,0.21875
15,0.21875
16,0.234375
17,0.2578125
18,0.265625
19,0.2890625
20,0.296875
21,0.3515625
22,0.3671875
23,0.40625
24,0.4140625
25,0.4296875
26,0.4296875
27,0.4375
28,0.4453125
29,0.453125
30,0.46875
31,0.484375
32,0.4921875
33,0.53125
34,0.5390625
35,0.5546875
36,0.5546875
37,0.5703125
38,0.578125
39,0.578125
40,0.5859375
41,0.59375
42,0.6015625
43,0.6171875
44,0.625
45,0.625
46,0.6484375
47,0.6484375
48,0.6484375
49,0.6640625
50,0.6875
