rank,cmc
1,0.03125
2,0.0546875
3,0.0703125
4,0.078125
5,0.09375
6,0.109375
7,0.109375
8,0.1328125
9,0.1484375
10,0.171875
11,0.1875
12,0.1953125
13,0.2109375
14,0.21875
15,0.234375
16,0.25
17,0.265625
18,0.28125
19,0.296875
20,0.3203125
21,0.3359375
22,0.34375
23,0.3671875
24,0.3828125
25,0.4140625
26,0.4296875
27,0.453125
28,0.4609375
29,0.4921875
30,0.5
31,0.5078125
32,0.5234375
33,0.53125
34,0.546875
35,0.546875
36,0.546875
37,0.5625
38,0.5859375
39,0.5859375
40,0.59375
41,0.59375
42,0.59375
43,0.6171875
44,0.640625
45,0.6640625
46,0.6796875
47,0.6796875
48,0.703125
49,0.703125
50,0.7109375
