rank,cmc
1,0.4140625
2,0.5390625
3,0.59375
4,0.6640625
5,0.6953125
6,0.7109375
7,0.734375
8,0.75
9,0.7890625
10,0.8046875
11,0.8125
12,0.8125
13,0.8125
14,0.828125
15,0.828125
16,0.8359375
17,0.8359375
18,0.8515625
19,0.8515625
20,0.859375
21,0.859375
22,0.859375
23,0.8671875
24,0.8671875
25,0.875
26,0.8828125
27,0.8828125
28,0.8828125
29,0.8984375
30,0.9140625
31,0.9140625
32,0.9140625
33,0.9140625
34,0.9140625
35,0.9140625
36,0.9140625
37,0.921875
38,0.9296875
39,0.9296875
40,0.9375
41,0.9375
42,0.9453125
43,0.953125
44,0.953125
45,0.953125
46,0.9609375
47,0.9609375
48,0.9609375
49,0.9609375
50,0.9609375
