rank,cmc
1,0.5859375
2,0.6953125
3,0.7578125
4,0.7734375
5,0.7734375
6,0.78125
7,0.8046875
8,0.8203125
9,0.8359375
10,0.8671875
11,0.8671875
12,0.890625
13,0.890625
14,0.90625
15,0.90625
16,0.9140625
17,0.9140625
18,0.921875
19,0.9296875
20,0.9296875
21,0.9296875
22,0.9375
23,0.9375
24,0.9375
25,0.9375
26,0.9375
27,0.9453125
28,0.9453125
29,0.9453125
30,0.9453125
31,0.9453125
32,0.953125
33,0.9609375
34,0.9609375
35,0.9609375
36,0.9609375
37,0.9609375
38,0.9609375
39,0.9609375
40,0.9609375
41,0.96875
42,0.96875
43,0.9765625
44,0.984375
45,0.984375
46,0.984375
47,0.984375
48,0.984375
49,0.984375
50,0.984375
