rank,cmc
1,0.453125
2,0.5234375
3,0.5625
4,0.609375
5,0.65625
6,0.6796875
7,0.6953125
8,0.703125
9,0.71875
10,0.7734375
11,0.78125
12,0.78125
13,0.8125
14,0.8203125
15,0.8203125
16,0.8359375
17,0.84375
18,0.859375
19,0.8671875
20,0.8671875
21,0.8671875
22,0.8671875
23,0.8828125
24,0.8828125
25,0.8828125
26,0.8828125
27,0.890625
28,0.890625
29,0.890625
30,0.8984375
31,0.8984375
32,0.8984375
33,0.90625
34,0.90625
35,0.90625
36,0.9140625
37,0.9140625
38,0.9140625
39,0.921875
40,0.9375
41,0.9375
42,0.9375
43,0.9375
44,0.9375
45,0.9453125
46,0.9453125
47,0.9609375
48,0.9609375
49,0.9609375
50,0.9609375
