rank,cmc
1,0.0546875
2,0.078125
3,0.1328125
4,0.1640625
5,0.1796875
6,0.21875
7,0.2421875
8,0.25
9,0.265625
10,0.2734375
11,0.2890625
12,0.2890625
13,0.3125
14,0.3359375
15,0.34375
16,0.3515625
17,0.3671875
18,0.3828125
19,0.3984375
20,0.40625
21,0.421875
22,0.4453125
23,0.4609375
24,0.4765625
25,0.484375
26,0.484375
27,0.5
28,0.5
29,0.5
30,0.5078125
31,0.5234375
32,0.53125
33,0.5390625
34,0.546875
35,0.5703125
36,0.5703125
37,0.6171875
38,0.6171875
39,0.6328125
40,0.640625
41,0.640625
42,0.65625
43,0.65625
44,0.65625
45,0.671875
46,0.6875
47,0.703125
48,0.71875
49,0.734375
50,0.734375
