rank,cmc
1,0.0
2,0.0
3,0.0390625
4,0.0390625
5,0.0390625
6,0.0703125
7,0.078125
8,0.078125
9,0.1015625
10,0.1171875
11,0.140625
12,0.1484375
13,0.171875
14,0.1796875
15,0.1875
16,0.21875
17,0.2265625
18,0.2265625
19,0.234375
20,0.25
21,0.2578125
22,0.265625
23,0.296875
24,0.3203125
25,0.34375
26,0.3671875
27,0.3828125
28,0.390625
29,0.40625
30,0.40625
31,0.4140625
32,0.4140625
33,0.421875
34,0.421875
35,0.4375
36,0.4375
37,0.4453125
38,0.4453125
39,0.4453125
40,0.453125
41,0.453125
42,0.4609375
43,0.4765625
44,0.4921875
45,0.4921875
46,0.5
47,0.5234375
48,0.546875
49,0.5546875
50,0.5625
