rank,cmc
1,0.03125
2,0.078125
3,0.0859375
4,0.109375
5,0.1484375
6,0.1796875
7,0.203125
8,0.2109375
9,0.2265625
10,0.2421875
11,0.25
12,0.2578125
13,0.2890625
14,0.296875
15,0.3046875
16,0.3125
17,0.3125
18,0.3203125
19,0.3359375
20,0.34375
21,0.3515625
22,0.359375
23,0.359375
24,0.375
25,0.3828125
26,0.4140625
27,0.421875
28,0.421875
29,0.4296875
30,0.4296875
31,0.4609375
32,0.46875
33,0.4765625
34,0.5
35,0.5078125
36,0.5234375
37,0.5390625
38,0.5390625
39,0.546875
40,0.578125
41,0.5859375
42,0.6015625
43,0.609375
44,0.609375
45,0.6171875
46,0.625
47,0.640625
48,0.6484375
49,0.6640625
50,0.671875
