rank,cmc
1,0.0546875
2,0.078125
3,0.1171875
4,0.125
5,0.1484375
6,0.1796875
7,0.1796875
8,0.234375
9,0.2421875
10,0.2578125
11,0.265625
12,0.28125
13,0.3203125
14,0.3359375
15,0.359375
16,0.3671875
17,0.3671875
18,0.3671875
19,0.390625
20,0.390625
21,0.390625
22,0.421875
23,0.4375
24,0.453125
25,0.453125
26,0.4609375
27,0.46875
28,0.484375
29,0.5
30,0.515625
31,0.5234375
32,0.5546875
33,0.5546875
34,0.5546875
35,0.5703125
36,0.5703125
37,0.5703125
38,0.59375
39,0.6015625
40,0.6015625
41,0.6015625
42,0.625
43,0.6328125
44,0.640625
45,0.640625
46,0.65625
47,0.6640625
48,0.6796875
49,0.6875
50,0.6953125
