feature_set,metric,loss_type,neg_strategy,success_rate_detections_%,success_rate_objects_%,mAP_standard,mAP_fair,total_detections,total_objects,cmc_rank1,cmc_rank5,cmc_rank10
feature,cosine_similarity,n/a,n/a,41.08527131782946,20.384615384615383,0.4938317649294792,0.38038392704027457,129,260,0.4140625,0.5859375,0.65625
feature,attention_similarity,ce,n/a,57.36434108527132,28.46153846153846,0.7493017625102734,0.5771648711227781,129,260,0.578125,0.796875,0.828125
feature,attention_similarity,triplet,random,44.96124031007752,22.30769230769231,0.6057958210866798,0.46662651083703705,129,260,0.453125,0.65625,0.7734375
feature,attention_similarity,triplet,semi-hard,51.162790697674424,25.384615384615383,0.6631275970260512,0.5107874733849311,129,260,0.515625,0.7265625,0.7890625
feature,attention_similarity,triplet,hard,1.550387596899225,0.7692307692307693,0.14364528279647415,0.11064569080268957,129,260,0.015625,0.078125,0.125
feature,attention_similarity,triplet,topk_stochastic,55.03875968992248,27.307692307692307,0.728523233965186,0.5611597883245352,129,260,0.5546875,0.734375,0.8203125
feature,attention_similarity,triplet_schedule,n/a,58.91472868217055,29.230769230769234,0.7608754406735485,0.5860797313296252,129,260,0.59375,0.7734375,0.8359375
concat_feature,cosine_similarity,n/a,n/a,39.53488372093023,19.615384615384617,0.45042138656795033,0.34694620316720504,129,260,0.3984375,0.5390625,0.6171875
concat_feature,attention_similarity,ce,n/a,58.139534883720934,28.846153846153843,0.7640367579587752,0.5885148000493269,129,260,0.5859375,0.7890625,0.8515625
concat_feature,attention_similarity,triplet,random,41.08527131782946,20.384615384615383,0.5860266133325684,0.4513988778372485,129,260,0.4140625,0.6953125,0.8046875
concat_feature,attention_similarity,triplet,semi-hard,48.837209302325576,24.23076923076923,0.7067634566420596,0.5443988787648297,129,260,0.4921875,0.7578125,0.8359375
concat_feature,attention_similarity,triplet,hard,1.550387596899225,0.7692307692307693,0.10113629078868319,0.07790227803993165,129,260,0.015625,0.0546875,0.1171875
concat_feature,attention_similarity,triplet,topk_stochastic,56.58914728682171,28.076923076923077,0.7448329775383892,0.5737226989147052,129,260,0.5703125,0.75,0.8203125
concat_feature,attention_similarity,triplet_schedule,n/a,58.139534883720934,28.846153846153843,0.78314928263522,0.6032366095973992,129,260,0.5859375,0.7734375,0.8671875
geom_feature,cosine_similarity,n/a,n/a,5.426356589147287,2.6923076923076925,0.14762715562996,0.11371280906632056,129,260,0.0546875,0.1484375,0.2578125
geom_feature,attention_similarity,ce,n/a,5.426356589147287,2.6923076923076925,0.13326592274110738,0.10265077832760976,129,260,0.0546875,0.1796875,0.2734375
geom_feature,attention_similarity,triplet,random,3.10077519379845,1.5384615384615385,0.125877408711838,0.09695962562938872,129,260,0.03125,0.1171875,0.1875
geom_feature,attention_similarity,triplet,semi-hard,3.10077519379845,1.5384615384615385,0.10649480597018827,0.08202978297703692,129,260,0.03125,0.1484375,0.2421875
geom_feature,attention_similarity,triplet,hard,0.0,0.0,0.07820418556883475,0.06023835915437271,129,260,0.0,0.0390625,0.1171875
geom_feature,attention_similarity,triplet,topk_stochastic,1.550387596899225,0.7692307692307693,0.0863736101658425,0.06653102404666247,129,260,0.015625,0.078125,0.1640625
geom_feature,attention_similarity,triplet_schedule,n/a,3.10077519379845,1.5384615384615385,0.1097984607199447,0.08457449001401145,129,260,0.03125,0.1015625,0.1484375
