rank,cmc
1,0.578125
2,0.6953125
3,0.734375
4,0.7734375
5,0.796875
6,0.8046875
7,0.8046875
8,0.8046875
9,0.8125
10,0.8359375
11,0.84375
12,0.84375
13,0.8515625
14,0.8515625
15,0.875
16,0.8828125
17,0.890625
18,0.890625
19,0.890625
20,0.890625
21,0.90625
22,0.90625
23,0.90625
24,0.90625
25,0.90625
26,0.90625
27,0.90625
28,0.9140625
29,0.9140625
30,0.9140625
31,0.921875
32,0.921875
33,0.921875
34,0.9296875
35,0.9296875
36,0.9296875
37,0.9296875
38,0.9375
39,0.9453125
40,0.9453125
41,0.9453125
42,0.9453125
43,0.9453125
44,0.9453125
45,0.9453125
46,0.9609375
47,0.96875
48,0.96875
49,0.96875
50,0.96875
