rank,cmc
1,0.6015625
2,0.6953125
3,0.7265625
4,0.7421875
5,0.7734375
6,0.7890625
7,0.796875
8,0.8046875
9,0.8125
10,0.8203125
11,0.8359375
12,0.84375
13,0.84375
14,0.8515625
15,0.8515625
16,0.859375
17,0.875
18,0.8828125
19,0.890625
20,0.8984375
21,0.8984375
22,0.8984375
23,0.9140625
24,0.9140625
25,0.921875
26,0.921875
27,0.9375
28,0.953125
29,0.953125
30,0.953125
31,0.953125
32,0.9609375
33,0.9609375
34,0.9609375
35,0.96875
36,0.9765625
37,0.9765625
38,0.9765625
39,0.9765625
40,0.9765625
41,0.984375
42,0.984375
43,0.984375
44,0.984375
45,0.984375
46,0.984375
47,0.984375
48,0.984375
49,0.9921875
50,0.9921875
