rank,cmc
1,0.546875
2,0.6953125
3,0.71875
4,0.7265625
5,0.7578125
6,0.7578125
7,0.7734375
8,0.7734375
9,0.78125
10,0.8125
11,0.8125
12,0.8125
13,0.8125
14,0.8125
15,0.8203125
16,0.828125
17,0.828125
18,0.84375
19,0.84375
20,0.84375
21,0.8515625
22,0.859375
23,0.859375
24,0.859375
25,0.8671875
26,0.8671875
27,0.8671875
28,0.875
29,0.875
30,0.8828125
31,0.8984375
32,0.90625
33,0.90625
34,0.90625
35,0.90625
36,0.9140625
37,0.9140625
38,0.921875
39,0.921875
40,0.921875
41,0.921875
42,0.921875
43,0.921875
44,0.921875
45,0.921875
46,0.921875
47,0.9296875
48,0.9296875
49,0.9296875
50,0.9296875
