rank,cmc
1,0.0234375
2,0.0546875
3,0.0859375
4,0.1171875
5,0.1171875
6,0.140625
7,0.15625
8,0.171875
9,0.2109375
10,0.21875
11,0.2578125
12,0.2734375
13,0.2734375
14,0.3046875
15,0.3046875
16,0.3046875
17,0.3203125
18,0.328125
19,0.3359375
20,0.34375
21,0.3515625
22,0.359375
23,0.375
24,0.390625
25,0.40625
26,0.4296875
27,0.4375
28,0.46875
29,0.484375
30,0.4921875
31,0.5078125
32,0.5234375
33,0.5234375
34,0.5390625
35,0.5625
36,0.5703125
37,0.578125
38,0.6015625
39,0.6171875
40,0.640625
41,0.6484375
42,0.65625
43,0.65625
44,0.65625
45,0.6640625
46,0.6796875
47,0.7109375
48,0.7109375
49,0.7265625
50,0.734375
